locationID,Latitude,Longtitude
ANS,-13.70888889,-73.35138889
ANS,-13.70888889,-73.35166667
ANU,17.10833333,-61.76388889
ANU,17.1375,-61.79
ANU,17.13666667,-61.79277778
ANU,17.13611111,-61.79388889
ANU,17.13666667,-61.79277778
ANU,17.13611111,-61.79388889
ANV,62.64777778,-160.1888889
ANV,62.64722222,-160.19
ANX,69.29305556,16.14166667
ANX,69.2925,16.14416667
AOH,40.70833333,-84.02666667
AOH,40.70833333,-84.02694444
AOI,43.6175,13.36416667
AOI,43.61638889,13.36222222
AOI,43.61638889,13.36222222
AOI,43.61638889,13.36222222
AOI,43.61638889,13.36222222
AOJ,40.73472222,140.6897222
AOJ,40.73333333,140.6886111
AOK,35.42388889,27.14722222
AOK,35.42083333,27.14555556
AOK,35.42111111,27.14583333
AOK,35.42083333,27.14555556
AOK,35.42111111,27.14583333
AOL,-29.69,-57.14861111
AOL,-29.68944444,-57.15194444
AOO,40.29722222,-78.32
AOO,40.29638889,-78.32
AOR,6.19111111,100.4038889
AOR,6.18972222,100.3983333
AOS,57.45472222,-153.8130556
APA,39.57277778,-104.8477778
APA,39.57277778,-104.8477778
APA,39.57027778,-104.8494444
APA,39.57,-104.8494444
APB,-14.73666667,-68.41305556
APB,-14.74027778,-68.41111111
APB,-14.74,-68.4075
APB,-14.73888889,-68.41111111
APB,-14.74027778,-68.41111111
APB,-14.73888889,-68.41111111
APC,38.21222222,-122.28
APC,38.21305556,-122.2805556
APE,-15.35,-75.16666667
APF,26.15277778,-81.77527778
APF,26.15222222,-81.77583333
APF,26.1525,-81.77555556
APF,26.15222222,-81.77583333
APF,26.1525,-81.77555556
APG,39.46611111,-76.16972222
APG,39.46611111,-76.16888889
APG,39.46555556,-76.16833333
APH,38.06888889,-77.31833333
APH,38.06861111,-77.31888889
API,4.07611111,-73.56277778
APK,-15.56666667,-146.4166667
APK,-15.57527778,-146.4130556
APL,-15.10166667,39.28722222
APL,-15.10555556,39.28166667
APN,45.08166667,-83.55583333
APN,45.07805556,-83.56027778
APO,7.03333333,-77.2
APR,-4.67361111,142.5377778
APT,35.06055556,-85.58527778
APV,34.52638889,-117.2127778
APV,34.52638889,-117.2127778
APV,34.57527778,-117.1861111
APW,-13.83333333,-172
APW,-13.82833333,-172.0119444
APW,-13.83,-172.0083333
AQI,28.33527778,46.125
AQI,28.33527778,46.125
AQI,28.33527778,46.125
AQI,28.33527778,46.125
AQI,28.33527778,46.125
AQI,28.33527778,46.125
AQJ,29.6125,35.01944444
AQJ,29.61111111,35.01777778
AQJ,29.61111111,35.01777778
AQJ,29.61111111,35.01777778
AQJ,29.61111111,35.01777778
AQP,-16.33777778,-71.555
AQP,-16.34111111,-71.58305556
AQP,-16.34055556,-71.57083333
AQP,-16.34111111,-71.58305556
AQP,-16.34055556,-71.57083333
AQS,-16.75,179.35
AQY,60.96666667,-149.1236111
AQY,60.96611111,-149.1258333
AQY,60.96888889,-149.1194444
AQY,60.96611111,-149.1258333
AQY,60.96888889,-149.1194444
AR1,35.26472222,-93.09388889
AR1,35.25916667,-93.09333333
AR2,35.08083333,-92.425
AR2,35.08111111,-92.42444444
AR2,35.08083333,-92.425
AR2,35.08111111,-92.42444444
AR3,36.34527778,-94.21944444
AR3,36.34583333,-94.21944444
AR3,36.34527778,-94.21944444
ARA,30.03777778,-91.88388889
ARA,30.0375,-91.88388889
ARA,30.03777778,-91.88388889
ARB,42.22277778,-83.74444444
ARB,42.22305556,-83.74555556
ARC,68.1375,-145.5244444
ARC,68.11472222,-145.5794444
