MHK,AMW
MSY,FNT
ILN,FNT
SHV,FNT
PWM,FNT
RIC,FNT
GRB,FNT
DAL,FNT
APN,FNT
PIA,FNT
TOL,FNT
LBF,FNT
IRK,FNT
MHT,FNT
HOU,FNT
GYY,FNT
FNT,FNT
COU,FNT
PAH,FNT
BDL,FNT
MRC,FNT
CSV,FNT
BTV,FNT
RST,FNT
IAH,FNT
FAR,FNT
DLH,FNT
TUS,FNT
OMA,FNT
OKC,FNT
LNK,FNT
ICT,FNT
RDU,FNT
GMU,FNT
DPA,FNT
SGF,FNT
IAD,FNT
CHA,FNT
CAE,FNT
ITH,FNT
FOE,FNT
CHO,FNT
LAX,FNT
DCU,FNT
BGR,FNT
AVP,FNT
SUS,FNT
BWG,FNT
XNA,FNT
FSD,FNT
ILG,FNT
SKY,FNT
ADM,FNT
MDT,FNT
BHM,FNT
MGM,FNT
HSV,FNT
HUF,FNT
SLN,FNT
BIL,HVR
ABQ,HOB
CNM,HOB
ROW,HOB
LBB,HOB
CVN,HOB
HOB,HOB
FMN,HOB
MAF,HOB
RUI,HOB
LRD,HUM
IAH,HUM
PIR,HON
MCO,HON
ORD,HON
MSP,HON
BKX,HON
LAS,HON
FSD,HON
MSY,HON
OMA,HON
HON,HON
COS,HON
BUF,HON
ABR,HON
CYS,HON
BFF,HON
EAR,HON
LBF,HON
IDA,LGU
SLC,LGU
PHX,LGU
SJC,LGU
LAS,LGU
RNO,LGU
FAT,LGU
MLU,LGU
EUG,LGU
PUW,LGU
DRO,LGU
ELP,LGU
BHM,LGU
CLL,LGU
MIA,MCN
FLL,MCN
MYR,MCN
FLO,MCN
ILM,MCN
GNV,MCN
VLD,MCN
BQK,MCN
ABY,MCN
DHN,MCN
ATL,MCN
FAY,MCN
OAJ,MCN
MEI,MCN
GPT,MCN
ROA,MCN
GTR,MCN
PHX,MCN
SAV,MCN
CRW,MCN
GSO,MCN
EVV,MCN
PNS,MCN
AGS,MCN
PFN,MCN
AVL,MCN
CSG,MCN
JAN,MCN
MIA,WRB
